&b / 	R_0 / 1/s	LiF b=0.2 t=5
2	8	
2.2	5	
2.4	5	
2.6	5	
2.8	5	
3	5	
3.2	5	
3.4	1	
3.6	5	
3.8	4	
4	5	
4.2	9	
4.4	9	
4.6	8	
4.8	10	
5	8	
5.2	34	
5.4	46	
5.6	52	
5.8	59	
6	55	
6.2	75	
6.4	94	
6.6	77	
6.8	84	
7	93	
7.2	105	
7.4	103	
7.6	105	
7.8	92	
8	113	
8.2	102	
8.4	111	
8.6	125	
8.8	138	
9	139	
9.2	126	
9.4	120	
9.6	139	
9.8	147	
10	141	153.6
10.2	161	157.4
10.4	164	165.4
10.6	158	157.4
10.8	177	170.8
11	168	177
11.2	193	164.6
11.4	184	184.4
11.6	190	183.2
11.8	182	182.6
12	184	185.6
12.2	202	196.8
12.4	188	189
12.6	213	202
12.8	197	203.4
13	233	197.8
13.2	197	184.6
13.4	178	171
13.6	165	170
13.8	156	156.6
14	137	149.8
14.2	137	157.6
14.4	140	150.8
14.6	137	151.2
14.8	142	156
15	156	146.2
15.2	154	164.4
15.4	143	158.4
15.6	166	157
15.8	156	170.4
16	173	153
16.2	147	161.6
16.4	156	148.6
16.6	145	147.6
16.8	156	158
17	149	152.8
17.2	159	153
17.4	147	136.2
17.6	147	147.6
17.8	149	135.8
18	151	170
18.2	161	141
18.4	146	148.6
18.6	193	194
18.8	157	140.2
19	130	135
19.2	144	125
19.4	131	123.8
19.6	115	124.8
19.8	116	118.6
20	247	260.2
20.2	3009	2895
20.4	875	820.6
20.6	247	258.2
20.8	222	238.2
21	181	205.6
21.2	204	194.8
21.4	265	268.8
21.6	311	313
21.8	180	195.8
22	201	193
22.2	285	312.4
22.4	6431	6722.6
22.6	8195	8175.4
22.8	441	400.2
23	234	230.6
23.2	168	185.4
23.4	154	171.6
23.6	156	162.4
23.8	154	146.4
24	138	139.6
24.2	142	136
24.4	127	125.6
24.6	129	128
24.8	116	131.2
25	126	117.2
25.2	118	116.4
25.4	117	110.6
25.6	101	109.8
25.8	122	130.2
26	116	116.4
26.2	102	99
26.4	96	96.4
26.6	82	95
26.8	85	98
27	80	87.4
27.2	91	79.8
27.4	88	85.4
27.6	85	80.8
27.8	60	74.8
28	69	81
28.2	81	69.2
28.4	65	68.4
28.6	77	81.4
28.8	158	164.2
29	55	66
29.2	67	57.2
29.4	64	65.4
29.6	62	57
29.8	57	54
30	52	58.2
30.2	48	52.2
30.4	46	52.6
30.6	45	45
30.8	56	42
31	50	45
31.2	36	37.4
31.4	42	35.6
31.6	44	32.4
31.8	42	36.8
32	33	34.4
32.2	31	37.4
32.4	34	32.4
32.6	39	30.4
32.8	27	34
33	26	30
33.2	23	30.4
33.4	15	28.6
33.6	34	25.6
33.8	24	29.2
34	26	25.6
34.2	26	23.4
34.4	30	22.4
34.6	24	22.4
34.8	22	19.2
35	22	20
35.2	11	18.8
35.4	26	20
35.6	21	19.2
35.8	19	19.4
36	21	17.4
36.2	22	16.6
36.4	22	18.8
36.6	16	15.4
36.8	17	15.6
37	15	12.6
37.2	13	14.8
37.4	14	15
37.6	15	15
37.8	13	14.8
38	14	12.8
38.2	25	18.6
38.4	11	11.6
38.6	8	14.2
38.8	14	12.6
39	13	10.2
39.2	10	12.8
39.4	16	18.2
39.6	14	14
39.8	14	10.6
40	19	14.6
40.2		12.6
40.4		10.8
40.6		8.4
40.8		10.6
41		12
41.2		12
41.4		9
41.6		11
41.8		9.6
42		6.6
42.2		9
42.4		10.2
42.6		10
42.8		12
43		10.2
43.2		18.2
43.4		24.2
43.6		187.8
43.8		62.2
44		17
44.2		13
44.4		12.2
44.6		14.2
44.8		11.6
45		10.2
45.2		10.8
45.4		8
45.6		10.6
45.8		11.2
46		12.2
46.2		9.2
46.4		9.8
46.6		9.2
46.8		12
47		14.6
47.2		10
47.4		11.2
47.6		10.6
47.8		9
48		10.6
48.2		11.6
48.4		13.2
48.6		12
48.8		15.2
49		15
49.2		20.2
49.4		32.6
49.6		129.2
49.8		1116.4
50		684.4
50.2		35.2
50.4		17.8
50.6		14.6
50.8		15
51		12
51.2		11.8
51.4		12.2
51.6		11.8
51.8		7.8
52		9
52.2		10.8
52.4		8.2
52.6		9.2
52.8		7.4
53		9.8
53.2		7.2
53.4		7.6
53.6		10.4
53.8		9
54		7
54.2		9.8
54.4		5.2
54.6		7
54.8		9.6
55		8.2
55.2		5.4
55.4		6.2
55.6		10.2
55.8		6
56		7.8
56.2		8.6
56.4		6.6
56.6		6.8
56.8		7.2
57		9.8
57.2		5.6
57.4		7.8
57.6		7
57.8		7.4
58		6.6
58.2		5.2
58.4		5.6
58.6		6.4
58.8		7.8
59		7.6
59.2		6
59.4		6.2
59.6		5
59.8		5.8
60		7
