b	fre	LiF b=0.1 t=10
42	9.4	
42.1	8.1	
42.2	9.9	
42.3	7.4	
42.4	8.9	
42.5	8	
42.6	9.1	
42.7	7.2	
42.8	8.7	
42.9	10.4	
43	9.4	
43.1	12.8	
43.2	17.1	
43.3	18.7	
43.4	26.2	
43.5	83.8	
43.6	211.3	
43.7	182.1	
43.8	31.1	
43.9	20.6	
44	15.6	
44.1	14.4	
44.2	12.4	
44.3	12.3	
44.4	13.1	
44.5	11.2	
44.6	12.1	
44.7	11.5	
44.8	9.3	
44.9	7.6	
45	9.9	
45.1	10.8	
45.2	9.2	
45.3	9	
45.4	9.2	
45.5	9.4	
45.6	9.4	
45.7	7.6	
45.8	7.5	
45.9	7.7	
46	8.8	
46.1	8.5	
46.2	7.4	
46.3	8.1	
46.4	10.3	
46.5	8.8	
46.6	8	
46.7	6.7	
46.8	9.3	
46.9	12.4	
47	16.1	
47.1	12.9	
47.2	9.5	
47.3	9.4	
47.4	10.8	
47.5	9.8	
47.6	9.2	
47.7	9	
47.8	9.5	
47.9	8.9	
48	8.8	
48.1	10.5	
48.2	9.7	
48.3	11.9	
48.4	9.8	
48.5	12.2	
48.6	12.2	
48.7	13.2	
48.8	12.6	
48.9	14.3	
49	13.7	
49.1	16.4	
49.2	18.6	
49.3	22.2	
49.4	36.7	
49.5	67.1	
49.6	147.3	
49.7	508.6	
49.8	1080.9	
49.9	490.4	
50	526.5	
50.1	68.9	
50.2	27.5	
50.3	21.4	
50.4	18.7	
50.5	15.4	
50.6	15.5	
50.7	13.9	
50.8	12.1	
50.9	11.4	
51	11.6	
51.1	10.9	
51.2	11.1	
51.3	9.6	
51.4	9.7	
51.5	11.5	
51.6	10.7	
51.7	7.6	
51.8	8.7	
51.9	9.4	
52	8.1	
