&b / 	R_0 / 1/s				
2	10				
2.2	9				
2.4	7				
2.6	13				
2.8	11				
3	11				delta b = 0.2
3.2	14				deltat = 1
3.4	24				
3.6	20				from 2-40
3.8	49				
4	132				
4.2	220				
4.4	269				
4.6	343				
4.8	379				
5	437				
5.2	454				
5.4	418				
5.6	487				
5.8	490				
6	503				
6.2	598				
6.4	583				
6.6	566				
6.8	663				
7	611				
7.2	660				
7.4	667				
7.6	758				
7.8	745				
8	733				
8.2	709				
8.4	763				
8.6	739				
8.8	725				
9	671				
9.2	677				
9.4	653				
9.6	569				
9.8	545				
10	472				
10.2	460				
10.4	434				
10.6	463				
10.8	404				
11	420				
11.2	410				
11.4	391				
11.6	389				
11.8	356				
12	339				
12.2	344				
12.4	338				
12.6	339				
12.8	336				
13	335				
13.2	327				
13.4	308				
13.6	217				
13.8	250				
14	384				
14.2	1536				
14.4	2006				
14.6	638				
14.8	356				
15	348				
15.2	390				
15.4	352				
15.6	1869				
15.8	5552				
16	4951				
16.2	547				
16.4	250				
16.6	197				
16.8	201				
17	209				
17.2	170				
17.4	193				
17.6	174				
17.8	156				
18	160				
18.2	179				
18.4	162				
18.6	132				
18.8	135				
19	118				
19.2	123				
19.4	104				
19.6	97				
19.8	98				
20	107				
20.2	115				
20.4	102				
20.6	87				
20.8	72				
21	75				
21.2	65				
21.4	74				
21.6	78				
21.8	71				
22	51				
22.2	67				
22.4	67				
22.6	52				
22.8	73				
23	46				
23.2	47				
23.4	49				
23.6	59				
23.8	57				
24	48				
24.2	45				
24.4	47				
24.6	47				
24.8	40				
25	55				
25.2	34				
25.4	52				
25.6	44				
25.8	46				
26	33				
26.2	44				
26.4	32				
26.6	28				
26.8	49				
27	41				
27.2	47				
27.4	37				
27.6	35				
27.8	43				
28	25				
28.2	26				
28.4	38				
28.6	33				
28.8	33				
29	33				
29.2	79				
29.4	431				
29.6	487				
29.8	80				
30	40				
30.2	43				
30.4	35				
30.6	34				
30.8	34				
31	39				
31.2	26				
31.4	47				
31.6	41				
31.8	42				
32	33				
32.2	26				
32.4	40				
32.6	46				
32.8	429				
33	2155				
33.2	1213				
33.4	52				
33.6	29				
33.8	30				
34	30				
34.2	26				
34.4	27				
34.6	31				
34.8	25				
35	20				
35.2	23				
35.4	21				
35.6	17				
35.8	23				
36	13				
36.2	23				
36.4	27				
36.6	16				
36.8	20				
37	22				
37.2	18				
37.4	15				
37.6	17				
37.8	19				
38	15				
38.2	13				
38.4	13				
38.6	23				
38.8	14				
39	15				
39.2	21				
39.4	11				
39.6	11				
39.8	13				
40	13				
