&b / 	R_0 / 1/s	b=0.15 t=4						
13.8	273							
13.9	288.3							
14	613							
14.2	1337.3							
14.3	2019.5							
14.4	1956							
14.5	1082.8							from 13.8 to 16.
14.6	409.8							
14.8	345.8							
14.9	338.5							
15	355.5							
15.1	375.8							
15.2	364.3							
15.4	368.3							
15.5	521.8							
15.6	2069							
15.7	4239.3							
15.8	6437.8							
16	5572							
16.1	2769.8							
16.2	421.3							
16.3	262.3							
								
								
								
								
							#NAME?	
