&b / 	R_0 / 1/s	b=0.1 t=4												
13.8	259.8													
13.9	276.5													
14	462													
14.1	995													
14.2	1645													
14.3	2086.3													
14.4	1948.5													
14.5	1253.5													
14.6	557.8													
14.7	357.5													
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														full width half max/height 
