x-axis	0.01mA	0.05mA		Aliminium 	
&b / 	R_0 / 1/s	R_1 / 1/s		delta b/ 	Frequency  /s
-5	0.5	3		0	7060
-4.9	0	2.5		0.2	6911
-4.8	0.5	1.5		0.4	7091
-4.7	0	3.5		0.6	7189
-4.6	0.5	2		0.8	7024
-4.5	1	2		1	7043
-4.4	1.5	1.5		1.2	7082
-4.3	0	4		1.4	7101
-4.2	0.5	3		1.6	7094
-4.1	1	3		1.8	7144
-4	0	3		2	7013
-3.9	0.5	4		2.2	7143
-3.8	1	2		2.4	7159
-3.7	1	2.5		2.6	7069
-3.6	0.5	2.5		2.8	7099
-3.5	0.5	2		3	7226
-3.4	0.5	6		3.2	7196
-3.3	0.5	5.5		3.4	7139
-3.2	0.5	3.5		3.6	6698
-3.1	1	5.5		3.8	5899
-3	0	4		4	5156
-2.9	0.5	2		4.2	4378
-2.8	1.5	7		4.4	3505
-2.7	1.5	5.5		4.6	2613
-2.6	1	6.5		4.8	1669
-2.5	2	4		5	663
-2.4	1	7.5		5.2	37
-2.3	2.5	8.5		5.4	3
-2.2	3	6		5.6	0
-2.1	2	6		5.8	0
-2	0	5		6	2
-1.9	1.5	7.5		6.2	2
-1.8	0.5	6.5		6.4	3
-1.7	2	8		6.6	1
-1.6	2.5	10.5		6.8	1
-1.5	4	7.5		7	1
-1.4	2	6.5		7.2	3
-1.3	8	25		7.4	1
-1.2	15	70.5		7.6	1
-1.1	50.5	237		7.8	26
-1	506	1855		8	118
-0.9	1988	5935.5		8.2	217
-0.8	3955	8564.5		8.4	332
-0.7	5950	8128.5		8.6	520
-0.6	7172.5	7350		8.8	601
-0.5	7419.5	6991.5		9	734
-0.4	7398	7007.5		9.2	814
-0.3	7113	7382.5		9.4	899
-0.2	5786.5	8100.5		9.6	971
-0.1	3887.5	8636		9.8	964
0	2231.5	6908		10	912
0.1	0.1	3156		10.2	953
0.2	575	1897.5		10.4	930
0.3	327.5	1119		10.6	896
0.4	135	438		10.8	963
0.5	12.5	54		11	969
0.6	6.5	25.5		11.2	1000
0.7	0.5	13.5		11.4	911
0.8	2.5	8.5		11.6	968
0.9	2	7		11.8	953
1	3.5	3		12	976
1.1	3.5	6		12.2	986
1.2	2	7.5		12.4	922
1.3	2.5	3.5		12.6	953
1.4	2	7.5		12.8	946
1.5	1.5	6.5		13	943
1.6	1	2		13.2	907
1.7	1	7		13.4	879
1.8	0.5	5.5		13.6	792
1.9	0.5	2.5		13.8	662
2	2	7.5		14	503
2.1	1.5	6		14.2	388
2.2	2	2.5		14.4	257
2.3	1.5	4		14.6	174
2.4	0.5	1.5		14.8	63
2.5	0.5	1		15	10
2.6	1.5	3		15.2	1
2.7	2.5	5.5		15.4	1
2.8	0	6		15.6	3
