frequency	Output voltage for ferite	Steel	aluminium	Copper	Brass
800	0.088	0.088	0.088	0.08	0.088
900	0.108	0.112	0.096	0.096	0.096
1000	0.132	0.128	0.112	0.112	0.112
1100	0.144	0.144	0.112	0.128	0.128
1200	0.186	0.16	0.136	0.136	0.136
1300	0.232	0.208	0.16	0.168	0.168
1400	0.32	0.232	0.184	0.184	0.192
1500	0.4	0.288	0.208	0.208	0.208
1600	0.568	0.324	0.248	0.232	0.24
1700	0.728	0.368	0.272	0.272	0.272
1750	0.744	0.392	0.296	0.296	0.288
1800	0.66	0.4	0.32	0.312	0.312
1900	0.504	0.408	0.36	0.376	0.4
2000	0.448	0.384	0.44	0.416	0.438
2100	0.328	0.336	0.52	0.536	0.512
2200	0.296	0.328	0.608	0.6	0.592
2300	0.248	0.288	0.664	0.68	0.664
2400	0.224	0.272	0.696	0.704	0.672
2500	0.2	0.256	0.664	0.696	0.616
2600	0.176	0.232	0.592	0.624	0.56
2700	0.16	0.208	0.536	0.56	0.52
2800	0.152	0.192	0.416	0.496	0.456
2900	0.144	0.192	0.408	0.416	0.4
3000	0.136	0.176	0.368	0.392	0.36
3100	0.128	0.168	0.336	0.344	0.32
3200	0.12	0.152	0.296	0.32	0.296
3300	0.12	0.144	0.288	0.288	0.272
3400	0.12	0.144	0.264	0.28	0.256
3500	0.104	0.136	0.256	0.256	0.248
3600	0.096	0.128	0.24	0.24	0.232
3700	0.096	0.128	0.224	0.232	0.216
3800	0.088	0.12	0.208	0.208	0.208
3900	0.08	0.112	0.2	0.2	0.192
4000	0.08	0.112	0.192	0.192	0.184
