Frequency (Hz)	V  in	V out	v in steel	v out steel	V in ferrite	V out ferrite	v in aluminu	V out aluminium	V in copper	V out copper	V in brass	V out in brass
200	0.98	1	0.96	0.98	0.94	0.96	0.96	0.96	0.96	0.96	0.96	0.96
300	0.98	1.01	0.95	1.03	0.95	1	0.95	0.98	0.96	0.98	0.95	0.97
400	0.98	1.01	0.95	1.05	0.96	1.01	0.96	1	0.96	1	0.96	1.01
500	0.98	1.01	0.95	1.08	0.96	1.05	0.96	1	0.96	1.03	0.97	1.01
600	0.98	1.03	0.95	1.12	0.96	1.08	0.96	1.03	0.97	1.05	0.96	1.05
700	0.99	1.05	0.95	1.15	0.96	1.15	0.96	1.05	0.97	1.08	0.96	1.1
800	0.98	1.12	0.96	1.2	0.96	1.22	0.96	1.1	0.97	1.1	0.97	1.12
900	0.99	1.15	0.95	1.24	0.96	1.29	0.96	1.12	0.96	1.12	0.96	1.13
1000	0.96	1.15	0.95	1.32	0.96	1.37	0.96	1.15	0.94	1.13	0.97	1.15
1100	0.96	1.22	0.95	1.39	0.96	1.53	0.96	1.2	0.96	1.2	0.96	1.22
1200	0.96	1.27	0.95	1.51	0.96	1.72	0.96	1.25	0.96	1.25	0.96	1.27
1300	0.95	1.36	0.95	1.67	0.96	2.03	0.96	1.32	0.95	1.29	0.96	1.32
1400	0.96	1.44	0.96	1.86	0.96	2.48	0.96	1.41	0.96	1.39	0.96	1.44
1500	0.96	1.55	0.96	2.16	0.96	3.11	0.96	1.5	0.96	1.48	0.96	1.53
1550					0.96	3.68						
1600	0.95	1.72	0.96	2.4	0.96	4.4	0.96	1.63	0.96	1.62	0.96	1.65
1650					0.96	5.19						
1700	0.96	1.89	0.96	2.72	0.96	6.07	0.96	1.79	0.96	1.77	0.96	1.86
1750					0.96	6.55						
1800	0.96	2.2	0.96	2.96	0.96	6	0.96	2.03	0.96	2.03	0.96	2.07
1850			0.96	2.96	0.96	5.03						
1900	0.96	2.59	0.96	2.88	0.96	4.07	0.96	2.35	0.96	2.31	0.96	2.4
1950			0.96	2.79								
2000	0.96	3.07	0.96	2.64	0.96	2.88	0.96	2.68	0.95	2.72	0.96	2.75
2050	0.96	3.44	0.96									
2100	0.96	3.75	0.96	2.2	0.96	2.16	0.96	3.11	0.95	3.16	0.96	3.31
2150	0.96	4.15	0.96				0.96	3.44			0.96	3.51
2200	0.96	4.48	0.96	1.91	0.96	1.67	0.96	3.75	0.95	3.75	0.96	3.75
2250	0.96	5.03	0.96				0.96	4.07			0.96	4.07
2300	0.98	5.11	0.96	1.67	0.96	1.44	0.96	4.32	0.96	4.4	0.96	4.23
2350	0.96	5.11					0.96	4.4	0.96	4.48	0.96	4.32
2400	0.96	4.8	0.96	1.44	0.96	1.12	0.96	4.4	0.96	4.48	0.96	4.15
2450	0.96	4.23					0.96	4.15	0.96	4.4	0.96	3.92
2500	0.96	3.83	0.96	1.24	0.96	0.96	0.96	3.83	0.96	4.07	0.96	3.59
2550									0.96	3.68	0.96	
2600	0.96	2.88	0.96	1.12	0.96	0.88	0.96	3.11	0.96	2.67	0.96	2.88
2700	0.96	2.4	0.96	0.96			0.96	2.55	0.96	2.55	0.96	2.4
2800	0.96	1.91	0.96	0.84			0.96	2.07	0.96	2.07	0.96	2
2900	0.96	1.67					0.96	1.84	0.96	1.84	0.96	1.75
3000	0.96	1.4					0.96	1.6	0.96	1.6	0.96	1.44
3100	0.96	1.2					0.96	1.36	0.96	1.36	0.96	1.36
3200	0.96	1.12					0.96	1.2	0.96	1.2	0.96	1.2
3300	0.96	1.03					0.96	1.03	0.96	1.03	0.96	1.03
3400							0.96	0.96	0.96	0.96	0.96	0.88
3500							0.96	0.88	0.96	0.88	0.96	0.88
