Aliminium ,
delta b/ °,Intensity  /s
0,7060
0.2,6911
0.4,7091
0.6,7189
0.8,7024
1,7043
1.2,7082
1.4,7101
1.6,7094
1.8,7144
2,7013
2.2,7143
2.4,7159
2.6,7069
2.8,7099
3,7226
3.2,7196
3.4,7139
3.6,6698
3.8,5899
4,5156
4.2,4378
4.4,3505
4.6,2613
4.8,1669
5,663
5.2,37
5.4,3
5.6,0
5.8,0
6,2
6.2,2
6.4,3
6.6,1
6.8,1
7,1
7.2,3
7.4,1
7.6,1
7.8,26
8,118
8.2,217
8.4,332
8.6,520
8.8,601
9,734
9.2,814
9.4,899
9.6,971
9.8,964
10,912
10.2,953
10.4,930
10.6,896
10.8,963
11,969
11.2,1000
11.4,911
11.6,968
11.8,953
12,976
12.2,986
12.4,922
12.6,953
12.8,946
13,943
13.2,907
13.4,879
13.6,792
13.8,662
14,503
14.2,388
14.4,257
14.6,174
14.8,63
15,10
15.2,1
15.4,1
15.6,3
15.8,0
16,0
16.2,1
16.4,2
16.6,0
16.8,0
17,2
17.2,1
17.4,2
17.6,2
17.8,18
18,87
18.2,150
18.4,207
18.6,294
18.8,372
19,495
19.2,514
19.4,524
19.6,572
19.8,574
20,575
20.2,555
20.4,586
20.6,606
20.8,584
21,526
21.2,579
21.4,508
21.6,555
21.8,577
22,593
22.2,523
22.4,567
22.6,558
22.8,563
23,601
23.2,539
23.4,522
23.6,463
23.8,412
24,323
24.2,252
24.4,165
24.6,74
24.8,36
25,6
25.2,0
25.4,1
25.6,0
25.8,0
26,1
26.2,0
26.4,0
26.6,0
26.8,1
27,1
27.2,1
27.4,0
27.6,5
27.8,36
28,83
28.2,120
28.4,155
28.6,246
28.8,315
29,333
29.2,390
29.4,417
29.6,381
29.8,425
30,407
30.2,421
30.4,400
30.6,386
30.8,431
31,370
31.2,400
31.4,406
31.6,417
31.8,427
32,446
32.2,431
32.4,441
32.6,417
32.8,456
33,429
33.2,369
33.4,323
33.6,308
33.8,232
34,221
34.2,154
34.4,98
34.6,47
34.8,14
35,5
35.2,2
35.4,2
35.6,1
35.8,2
36,0
36.2,2
36.4,0
36.6,2
36.8,0
37,1
37.2,0
37.4,4
37.6,7
37.8,29
38,56
38.2,81
38.4,114
38.6,170
38.8,195
39,244
39.2,286
39.4,267
39.6,292
39.8,309
40,314
40.2,284
40.4,283
40.6,267
40.8,287
41,300
41.2,305
41.4,301
41.6,285
41.8,279
42,293
42.2,305
42.4,283
42.6,292
42.8,274
43,291
43.2,241
43.4,272
43.6,227
43.8,171
44,159
44.2,106
44.4,75
44.6,42
44.8,18
45,3
45.2,0
45.4,0
45.6,1
45.8,0
46,1
46.2,0
46.4,3
46.6,0
46.8,0
47,1
47.2,2
47.4,1
47.6,7
47.8,24
48,47
48.2,61
48.4,92
48.6,108
48.8,151
49,191
49.2,195
49.4,237
49.6,227
49.8,204
50,213
50.2,229
50.4,229
50.6,230
50.8,206
51,218
51.2,243
51.4,216
51.6,211
51.8,222
52,212
52.2,233
52.4,204
52.6,215
52.8,221
53,233
53.2,221
53.4,210
53.6,191
53.8,160
54,125
54.2,106
54.4,78
54.6,49
54.8,28
55,7
55.2,1
55.4,1
55.6,1
55.8,1
56,1
56.2,0
56.4,0
56.6,0
56.8,1
57,0
57.2,1
57.4,0
57.6,0
57.8,5
58,23
58.2,39
58.4,58
58.6,104
58.8,95
59,123
59.2,123
59.4,142
59.6,162
59.8,164
60,175
